,NHS England Region,02-03-2020,03-03-2020,05-03-2020,06-03-2020,08-03-2020,09-03-2020,10-03-2020,11-03-2020,12-03-2020,13-03-2020,14-03-2020,15-03-2020,16-03-2020,17-03-2020,18-03-2020,19-03-2020,20-03-2020,21-03-2020,22-03-2020,23-03-2020,24-03-2020,25-03-2020,26-03-2020,27-03-2020,28-03-2020,29-03-2020,30-03-2020,31-03-2020,01-04-2020,02-04-2020,03-04-2020,04-04-2020,05-04-2020,06-04-2020,07-04-2020,08-04-2020,09-04-2020,10-04-2020,11-04-2020,12-04-2020,13-04-2020,14-04-2020,15-04-2020,16-04-2020,17-04-2020,18-04-2020,19-04-2020,20-04-2020,21-04-2020,22-04-2020,23-04-2020,24-04-2020,25-04-2020,26-04-2020,27-04-2020,28-04-2020,29-04-2020,30-04-2020,01-05-2020,02-05-2020,03-05-2020,04-05-2020,05-05-2020,06-05-2020,07-05-2020,08-05-2020,09-05-2020,10-05-2020,11-05-2020,12-05-2020,13-05-2020,14-05-2020,15-05-2020,16-05-2020,17-05-2020,18-05-2020,19-05-2020,20-05-2020,21-05-2020,22-05-2020,23-05-2020,24-05-2020,25-05-2020,26-05-2020,27-05-2020,28-05-2020,29-05-2020,30-05-2020,31-05-2020,01-06-2020,02-06-2020,03-06-2020,04-06-2020,05-06-2020,06-06-2020,07-06-2020,08-06-2020,09-06-2020,10-06-2020,11-06-2020,12-06-2020,13-06-2020,14-06-2020,15-06-2020,16-06-2020,17-06-2020,18-06-2020,19-06-2020,20-06-2020,21-06-2020,22-06-2020,23-06-2020,24-06-2020,25-06-2020,26-06-2020,27-06-2020,28-06-2020,29-06-2020,30-06-2020,01-07-2020,02-07-2020,03-07-2020,04-07-2020,05-07-2020,06-07-2020,07-07-2020,08-07-2020,09-07-2020,10-07-2020,11-07-2020,12-07-2020,13-07-2020,14-07-2020,15-07-2020,16-07-2020,17-07-2020,18-07-2020,19-07-2020,20-07-2020,21-07-2020,22-07-2020,23-07-2020,24-07-2020,25-07-2020,26-07-2020,27-07-2020,28-07-2020,29-07-2020,30-07-2020,31-07-2020,01-08-2020,02-08-2020,03-08-2020,04-08-2020,05-08-2020,06-08-2020,07-08-2020,08-08-2020,09-08-2020,10-08-2020,11-08-2020,12-08-2020,13-08-2020,14-08-2020,15-08-2020,16-08-2020,17-08-2020,18-08-2020,19-08-2020,20-08-2020,21-08-2020,22-08-2020,23-08-2020,24-08-2020,25-08-2020,26-08-2020,27-08-2020,28-08-2020,29-08-2020,30-08-2020,31-08-2020,01-09-2020,02-09-2020,03-09-2020,04-09-2020,05-09-2020,06-09-2020,07-09-2020,08-09-2020,09-09-2020,10-09-2020,11-09-2020,12-09-2020,13-09-2020,14-09-2020,15-09-2020,16-09-2020,17-09-2020,18-09-2020,19-09-2020,20-09-2020,21-09-2020,22-09-2020,23-09-2020,24-09-2020,25-09-2020,26-09-2020,27-09-2020,28-09-2020,29-09-2020,30-09-2020,01-10-2020,02-10-2020,03-10-2020,04-10-2020,05-10-2020,06-10-2020,07-10-2020,08-10-2020,09-10-2020,10-10-2020,11-10-2020,12-10-2020,13-10-2020,14-10-2020,15-10-2020,16-10-2020,17-10-2020,18-10-2020,19-10-2020,20-10-2020,21-10-2020,22-10-2020,23-10-2020,24-10-2020,25-10-2020,26-10-2020,27-10-2020,28-10-2020,29-10-2020,30-10-2020,31-10-2020,01-11-2020,02-11-2020,03-11-2020,04-11-2020,05-11-2020,06-11-2020,07-11-2020,08-11-2020,09-11-2020,10-11-2020,11-11-2020,12-11-2020,13-11-2020,14-11-2020,15-11-2020,16-11-2020,17-11-2020,18-11-2020,19-11-2020,20-11-2020,21-11-2020,22-11-2020,23-11-2020,24-11-2020,25-11-2020,26-11-2020,27-11-2020,28-11-2020,29-11-2020,30-11-2020,01-12-2020,02-12-2020,03-12-2020,04-12-2020,05-12-2020,06-12-2020,07-12-2020,08-12-2020,09-12-2020,10-12-2020,11-12-2020,12-12-2020,13-12-2020,14-12-2020,15-12-2020,16-12-2020,17-12-2020,18-12-2020,19-12-2020,20-12-2020,21-12-2020,22-12-2020,23-12-2020,24-12-2020,25-12-2020,26-12-2020,27-12-2020
0,East Of England,2.449489742783178,-0.6324555320336758,-0.6324555320336758,1.5811388300841893,-0.7844645405527362,0.8660254037844387,-0.40824829046386296,-0.7717436331412899,-0.7637626158259734,-0.5533167449931866,-0.2727977357881894,-0.6889986220041341,-0.892217816219194,-0.775055417679235,-0.5241454151643895,-0.739509972887452,-0.9026285459761504,-0.2610199707223645,-0.5887236789355924,-0.6410555407542659,-0.3986751296464487,-0.35759585477680117,-0.28343546188286867,-0.34149961041589655,-0.6510192256348764,-0.49087557764201084,-0.6925461630108192,-0.24799622737435073,-0.5390395172376566,-0.5201628698898763,-0.41211779539069915,-0.6924291493592302,-0.5871495080170618,-0.6776498810400791,-0.45418259942042993,-0.2940279180605933,-0.5094822213240713,-0.8452130562491281,-0.4685071784654277,-0.06234086352114426,-0.5332402501186703,-0.7835633538650215,-0.42387160149015596,-0.4582675856987147,-0.04667441396584493,-0.560187312427969,-0.3543593933039892,-0.5451503296063092,0.25568411375695566,-0.18042562992793776,-0.6009652874256648,0.19476643590337497,-0.05600179208602059,-0.41249597173869507,-0.18192194918589558,0.5959541918549688,-0.8398321847026382,0.022473328748774654,0.28987751081145463,-0.6052865725375107,0.3305117713761591,-1.1839470138145523,0.010314212462588153,-0.5289344146566346,-0.3051450180754327,0.22631217126314723,0.0,-0.4609543586321642,-0.6415002990995843,-0.4398756576661477,0.40001097438852296,0.029304225900818364,-0.5056839004046367,0.20134681656420725,-0.3377639812683609,0.21496368596018353,-0.5154835307167938,0.41823056478987664,-0.04733958023233507,-0.6093678788273321,-0.6042724784530299,0.05254270830780422,0.7171371656006361,-0.8025343000034282,-0.6010105825329721,-0.09339678167707044,-0.10778265338980687,-0.6427012004080076,-0.573301388028041,0.8296541394999649,-0.1902214775631705,-0.7899235488742394,-0.7640931774583412,0.26124020651046476,-0.7068000768645126,-0.42394146784574405,-0.5311086477270913,-0.6124857016610089,-0.5570066518960165,-1.1639753904947558,0.4389477864571921,-0.39413171126571733,-0.6986196492489336,0.0,-0.9903266083125584,-0.03140371465106647,-0.5595229903356082,0.35355339059327373,-0.5515528318445927,-0.5073825686188038,-0.03118914307759035,-0.48630890426246925,-0.7782896421160246,-0.8543105109597308,-0.13483997249264834,0.4811252243246882,0.9017000959648742,-0.05521576303742342,0.21887026206583302,-0.27735009811261463,-0.045548751867427816,-1.20650120650181,-0.07580980435789031,-1.2923246855119288,-0.5255883312276367,-0.49393916995360654,-1.8708286933869707,0.6680426571226848,1.341640786499874,0.07905694150420944,-0.6067798762169178,1.7063893769835634,0.07905694150420944,-1.2247448713915892,-1.1043152607484654,-1.0206207261596576,-1.2671051872498809,-0.4850712500726659,-0.2773500981126145,-0.36380343755449945,-0.07580980435789031,-0.5834599659915781,0.6324555320336759,-0.9370425713316364,-0.48112522432468807,-0.18107149208503714,0.6933752452815363,-1.0289915108550531,-1.1547005383792515,0.408248290463863,-0.8366600265340756,-1.1226827987756232,-0.5781471643504004,-0.11470786693528083,0.408248290463863,-0.9282791216329142,0.12700012700019056,-1.1547005383792515,-0.6324555320336759,-0.12700012700019042,0.47434164902525694,0.5883484054145521,-0.6324555320336758,0.40824829046386296,-0.2981423969999719,-0.5883484054145521,-0.7179581586177382,1.0289915108550531,1.1547005383792517,1.1547005383792517,-0.6324555320336759,0.2773500981126145,-0.24333213169614382,-0.5157106231293968,-1.5811388300841898,-0.2860387767736777,0.0,-0.8111071056538126,-0.6324555320336758,-0.6324555320336758,-0.9354143466934853,-0.5883484054145521,-1.2480754415067654,0.8660254037844387,0.1443375672974065,-0.5443310539518172,0.0,-0.4653789209955173,-0.7627127698096899,-0.5640760748177662,-0.7717436331412898,-1.0801234497346435,-0.8432740427115677,-0.7637626158259734,-0.35921060405354976,-1.2377054955105522,-1.1992507023933783,-1.2803687993289599,-1.0427604699020583,-1.3339459376998313,-0.4662524041201569,-1.1066057433370027,-0.5607231762191973,-0.9037128496931668,-1.0583343916682542,-0.828236445561349,-0.7159587273193938,-0.8538149682454623,-0.7674353752692953,-0.8100925873009825,-0.763065115574699,-0.7975947199973334,-0.7919840945184121,-0.8090934140064149,-0.9238116128199989,-1.110254763306738,-0.4599331055039,-0.3769142779452365,-0.691796197821679,-0.8416823146377417,-0.26338131217567806,-0.9047480283975574,-0.7602676323849608,-0.903882117227894,-0.7602859212697054,-0.7693231034996206,-0.6896258870713134,-0.7117635514225117,-0.47519096331149147,-0.7964174423374948,-0.6183862771978873,-0.8049691308061651,-0.8512702986596915,-0.43259045634870014,-1.1106481848246474,-0.6753760339534036,-0.8202233936559832,-0.9062366658837621,-0.8142878395119671,-0.8238275696707836,-0.7414529857669208,-0.6453281501367663,-0.7593513122135129,-0.9912749027569602,-0.6683750784658924,-0.8849631314399662,-0.863195379958734,-0.6432872633909471,-1.0001961168875493,-0.8626084853471898,-0.9796695984892144,-0.47384838201860485,-0.9075020318032555,-0.9498042137037631,-0.565412724497247,-0.794499994634617,-1.0371510893471574,-1.2035999376261757,-1.0407785719249678,-1.0124351954693325,-0.759348383529588,-0.7107877367263622,-0.9464371972250342,-0.9480486564599963,-0.8796596716361432,-0.9288390143261398,-1.3001743786741762,-0.9712044230528528,-1.2291017395848285,-0.7413702320275877,-1.110106342501187,-0.7446383674181333,-0.7858197369686699,-1.1065672719489958,-0.8395906690462996,-0.9929085790714883,-0.808290376865476,-0.8874062378460564,-1.055056376517956,-1.113306635473641,-1.3102335503725049,-0.6155092573422775,-0.6647700293478881,-0.8773750111542208,-0.8792038156092776,-0.8680947625382909,-0.72559558217923,-0.6572562500623205,-0.6030710063455534,-0.4257289264565226,0.19802950859533489,-0.0843555274682941,0.38323209773069716,-0.27652412278910143,-0.20196869122051184,-0.6726999721460174,-0.25007503376688395,-0.19827062582648775,-0.4850712500726661
1,London,-0.4082482904638629,-0.6324555320336758,-0.6324555320336758,1.5811388300841893,-0.7844645405527362,0.8660254037844387,-0.40824829046386296,2.229481606852615,1.5275252316519468,2.128141326896871,2.3528804711731337,1.907996184011448,1.7573987289165942,2.285419821361847,2.1980291603667945,2.3664319132398464,2.013555987177566,2.409415114360288,2.074118807326933,2.2046056401549143,2.2348267830885433,2.3000918560334993,2.236842023508045,2.186382563237406,1.988784341726055,2.086221204978546,2.115482541656,2.0329923290571763,1.9764782298714076,1.8693353136667425,2.039983087183961,2.0674308053821857,1.7308388340597747,1.9416142243713566,2.038214504806498,1.8478339891125075,1.841974184787027,1.7399205707470795,1.6206877951359604,1.3680356161584446,1.6136616719277403,1.2701597745300572,1.1921388791910636,1.2914813778781953,0.5659272693358719,0.629062801660916,1.2993177754479617,0.595731288023389,1.2194165425331736,1.4772348450349913,0.4896754193838748,0.46743944616810007,0.16800537625806178,-0.08437417603746031,0.15028334932747905,-0.3025613589417535,-0.07558489662323739,-0.3708099243547832,-0.14885601906534165,0.17692992120327247,0.009180882538226832,-0.46042383870565917,-0.7838801471566827,-0.07556205923666208,0.05085750301257191,-0.037718695210524386,-0.620742378863753,-0.15365145287738807,-0.6415002990995843,-0.6964697913047339,-0.6370545147669068,-0.5860845180163695,-0.5056839004046367,-0.9261953561953535,-0.6004693000326414,-1.1016888905459412,-0.6080062157172439,-0.28843487226888054,-1.041470765111375,-1.0221654741619766,-1.181078026067286,-1.1734538188742987,-1.1952286093343936,-0.8025343000034282,-1.1695341065506486,-1.2701962308081562,-1.4658440861013715,-0.17729688287117445,-0.870568774412951,-0.7964679739199665,-0.9165216646225489,-1.329383533471281,-0.606779876216918,-1.2626609981339136,-1.222175132911553,-1.122198003121087,-0.8409220255678946,-0.7773856982620498,-0.5570066518960165,-0.3879917968315853,-1.2370346709248143,-1.0838622059807224,-0.8616309007403514,-1.437450889679701,-1.159406760951288,-1.3503597299958547,-0.9155830750946314,-0.35355339059327373,-0.7786628214276602,-0.2706040365966954,-0.9044851492501178,-1.2427894220040883,-0.7782896421160246,-0.5476349429229044,-1.5506596836654567,-1.2028130608117202,-1.091531695115374,-0.8282364455613492,-1.3132215723949987,0.2080125735844608,-1.0020725410834095,-0.31750031750047636,-1.137147065368355,-0.2871832634470953,-0.5255883312276367,-0.8781140799175228,0.0,-0.3711348095126028,-1.788854381999832,-0.4743416490252569,-0.6067798762169178,-0.8273403039920306,-1.0277402395547233,-0.4082482904638631,-1.1043152607484654,-1.0206207261596576,-0.22360679774997888,-1.3339459376998313,-0.7627127698096899,-0.36380343755449945,-1.137147065368355,-0.07293249574894724,-1.5811388300841898,-0.3904344047215151,-1.1547005383792515,-0.18107149208503714,-1.2480754415067654,-1.0289915108550531,-0.14433756729740638,-1.0206207261596576,-0.8366600265340756,1.0206207261596576,-0.5781471643504004,-0.917662935482247,-1.0206207261596576,-0.20628424925175876,-0.7620007620011431,-1.1547005383792515,-0.6324555320336759,-1.0160010160015238,-0.6324555320336759,-0.7844645405527361,1.5811388300841895,-1.0206207261596576,-0.8198915917499229,-0.5883484054145521,-0.21538744758532147,-0.17149858514250876,-0.8660254037844387,1.1547005383792517,-0.6324555320336759,-0.6933752452815363,-0.8111071056538126,0.2062842492517587,-0.47434164902525694,-0.9534625892455925,-1.8708286933869707,-0.8111071056538126,-0.6324555320336758,-0.6324555320336758,0.0,-0.5883484054145521,-0.27735009811261463,0.8660254037844387,-0.8660254037844386,-0.5443310539518172,1.8708286933869707,-0.4653789209955173,-0.7627127698096899,-0.5640760748177662,0.428746462856272,0.0,-0.10540925533894592,-1.5275252316519468,-0.9878291611472619,-0.5157106231293968,-0.14990633779917223,-0.384110639798688,-0.6585855599381422,1.212678125181665,-0.13987572123604702,-0.1952833664712357,0.7476309016255963,-0.27111385490795004,-0.1693335026669207,-0.828236445561349,-0.7159587273193938,-0.8538149682454623,-0.5436000574824175,0.5400617248673217,0.028261670947211152,-0.41254899310206905,-0.7919840945184121,-0.44369638832609853,-0.5834599659915782,0.24980732174401601,-0.4599331055039,-0.3769142779452365,-0.28824841575903287,-0.019574007317156836,-0.5544869730014276,-0.5983011155532235,-0.30148544042851894,-0.6025880781519294,-0.4941858488253085,0.0,-0.6034226511873992,-0.9382337723296744,-0.6335879510819886,-0.3834602500143494,-0.6820436880859051,-0.38977452649561684,-0.5441109125453698,-0.8741932138713315,-0.10173876502210516,-0.6753760339534036,-0.8202233936559832,-0.6796774994128215,-0.14726482203939825,-0.6578766923270287,-0.528741063620673,-0.9830699857223635,-0.6307514932096115,-0.6857876685739976,-0.8385069166208468,-0.6105125400440273,-0.5734928209314877,-0.8981746696401903,-0.618933240648236,-0.7889711756224297,-0.5246571783378258,-0.9421220771899319,-0.9075020318032555,-0.9113728293342467,-0.8063277114569436,-0.7539051043978118,-0.8592085004885766,-0.4218803905081441,-0.5383337440991212,-0.9017000959648742,-0.759348383529588,-0.8992541820704735,-0.9966270485930284,-0.7505385196974971,-0.843224063935238,-0.7692838462210361,-0.7676561491108168,-0.699267184598054,-0.570894250626833,-0.9709981800007343,-0.22706720642069744,-0.8867966011979588,-0.5657902106174423,-0.5411679359166621,-0.6679954958105595,-0.7008766440504623,-0.7505553499465134,-0.6521091293262686,-0.3490995363478531,-0.3868268818171124,-0.7585562660051344,-0.7975612912040778,-0.9306780410870433,-0.4128823581902215,-0.31457751200698914,-0.23149193667687756,0.431683447625618,-0.14605694445829334,0.5725357655179306,-0.16431642775514918,-0.19802950859533489,0.506133164809763,0.3236182158614776,0.2396542397505547,0.5756107699784595,0.7567874686642695,0.2400720324162084,-0.19827062582648775,1.2126781251816647
2,Midlands,-0.4082482904638629,1.5811388300841895,-0.6324555320336758,-0.6324555320336757,1.9611613513818404,0.8660254037844387,-0.40824829046386296,0.42874646285627205,1.5275252316519468,0.6384423980690614,0.20459830184114206,0.423999152002544,1.0003654303063692,0.19873215837929106,0.4226979154551528,-0.1479019945774904,0.9026285459761504,-0.12047075571801436,0.6158955410403122,0.5628780357842333,0.4660568416993696,0.3222777456630432,0.4672854912122972,0.5927177146298893,1.0440125386705637,0.7471415042051194,0.49954149463075503,0.8218479628103478,0.8624632275802506,0.9400860200613907,0.49454135446883896,0.6875008280114778,1.1269931315019435,0.7454148691440867,0.13457262205049786,0.9609692931736455,0.5094822213240713,0.5672826368518926,0.7461410620004956,0.8831622332162111,0.4914174854034803,0.5939338663999704,1.2981067795636025,0.2840501564248229,1.2602091770778177,1.0790493313161698,0.8399630063501975,1.0284794878139643,0.7604963383540221,0.25372354208616266,1.5024132185641617,0.9037162625916603,0.95203046546235,1.7531078798894544,1.3683694438765195,1.2377510138526275,0.3947211268102401,0.8876964855766019,1.1125028793304477,0.8287769993205918,1.03743972681961,1.578596018419403,1.6709024189392454,1.5868032439699038,1.0298644360045845,0.3143224600877044,0.8276565051516708,1.0755601701417166,1.0424379860368242,1.6128774114425417,1.7481961102905814,1.3626465043880587,1.4003554165051475,0.9530415984039144,1.5011732500816029,1.2494764246435672,1.3349701692922091,1.4277526177309583,1.167709645730936,1.3170208994010089,1.5106811961325752,0.4203416664624351,0.8366600265340756,1.800808673178424,1.331969399127128,1.3449136561498123,0.4958002055931107,1.2189160697393249,1.5075703166663297,1.5265636166799357,0.778178771849334,1.0981863972154058,0.6517265337144673,1.3279710497615298,0.8393250912766086,0.972571602704942,0.8630515525565233,1.366314257551482,0.683599072781475,1.1639753904947558,1.2769390151481954,-0.049266463908214785,1.5835378716309156,0.8214005083884005,1.0386352233521952,0.8479002955787923,1.39880747583902,1.414213562373095,1.9466570535691503,2.097181283624389,1.7154028692674645,1.5940125195269828,1.5266450672275866,1.752431817353294,-0.13483997249264834,0.14433756729740652,0.5694947974514994,0.7178049194865024,0.601893220681041,2.149463260372763,1.5486575634925415,0.12700012700019045,0.4548588261473421,1.2205288696501546,0.5781471643504005,-0.1097642599896903,1.247219128924647,0.9278370237815068,0.5590169943749476,-1.0277402395547233,1.28097973868016,-0.8273403039920306,-0.4743416490252569,1.2247448713915892,0.44172610429938614,1.1226827987756232,0.2981423969999721,1.212678125181665,0.6933752452815363,-0.36380343755449945,-0.07580980435789031,1.9691773852215764,0.6324555320336759,1.2493900951088484,1.5396007178390019,2.353929397105482,-0.27735009811261463,0.1714985851425089,-0.14433756729740638,1.8371173070873836,-0.8366600265340756,-0.40824829046386296,0.15767649936829103,-0.11470786693528083,0.408248290463863,-0.9282791216329142,1.9050019050028577,0.8660254037844387,-0.6324555320336759,-1.0160010160015238,0.47434164902525694,-0.7844645405527361,-0.6324555320336758,-1.0206207261596576,-0.2981423969999719,-0.5883484054145521,-0.7179581586177382,-1.3719886811400708,-0.8660254037844387,-0.8660254037844387,0.10540925533894602,-0.6933752452815363,-0.8111071056538126,-0.5157106231293968,0.6324555320336759,1.0488088481701516,1.8708286933869707,0.32444284226152503,-0.6324555320336758,1.5811388300841895,0.0,-0.5883484054145521,0.6933752452815363,-1.1547005383792515,-0.8660254037844386,-0.5443310539518172,0.0,-0.10341753799900387,0.6933752452815363,-0.5640760748177662,-0.17149858514250887,0.0,0.6324555320336759,1.5275252316519468,-0.35921060405354976,0.20628424925175878,0.37476584449793077,-0.384110639798688,0.8781140799175228,0.36380343755449945,1.1656310103003924,0.26037782196164777,0.09345386270319951,0.9940841346624836,1.0160010160015238,0.33129457822453967,0.1556432015911726,0.91706052144883,0.1279058958782158,-0.27003086243366087,-0.1695700256832664,0.3575424606884597,0.019316685232156447,0.10439915019437607,0.2674191510794733,0.055512738165336875,-0.3135907537526591,0.11778571185788625,-0.01921656105060213,-0.019574007317156836,-0.6515221932766774,0.4231885939278897,-0.30148544042851894,0.6025880781519294,0.038014296063485296,-0.17096068966658237,0.4310161794195709,0.3639699978865115,-0.15839698777049716,-0.1769816538527767,0.018187831682290736,-0.33046101159410995,0.8073903863576455,0.7029594915666376,0.2543469125552627,0.35237010467134106,0.5003362701301498,0.7929570826482918,0.27720437089769107,0.5037794490792562,0.5348185471105659,0.8322923805502219,0.5266468778255008,1.1471357365237778,0.30988299092509547,1.3106415997275451,0.7922478144826737,0.41874359598089933,0.7328169569275116,0.6837750188727723,0.7428774206553282,1.1651095510810396,1.0258718620384626,0.9717650047720582,0.329414369924483,1.1134598464952299,1.0625714591840973,1.1849875674566985,1.0108711416972391,1.3499135939591098,1.2138068857935085,1.6638894746094393,1.0611568574947357,1.540579066747494,1.3793480058199876,1.1453781710402093,1.3624167691426212,1.6575222153435352,1.7798467813660082,1.6467604268931368,1.8039228065644284,1.9089819964719417,1.964549342421675,1.4942696737997392,1.6914381361808666,1.46015967510513,2.02072594216369,1.7008619558716085,1.714466611841678,1.528437923277372,1.5171125320102687,1.8725352054356603,1.6619250733697202,1.9095809066297746,2.0568529631226222,1.9676814617534593,1.7175490362976713,1.955540200802707,2.015325894623116,1.7701360626350142,1.3862065601673441,1.6132994628311201,1.6947374988535269,1.272010964829867,0.9290559796143556,1.2613124477737825,1.500450202601303,1.5681404042640377,0.3638034375544993
3,North East And Yorkshire,-0.4082482904638629,-0.6324555320336758,-0.6324555320336758,-0.6324555320336757,-0.7844645405527362,-1.1547005383792515,-0.40824829046386296,-0.7717436331412899,-0.7637626158259734,-0.8512565307587486,-0.7501937734175208,-0.6889986220041341,-0.5137011669140814,-0.775055417679235,-0.8792116641467179,-0.4437059837324712,-0.6943296507508849,-0.6123930082332398,-0.9057287368239882,-0.7505040477123113,-0.8310411153193579,-0.6048226185731082,-0.6856074010409933,-0.6162694118999512,-0.45650738382933403,-0.6172038512998813,-0.1892202631177101,-0.44985362174882215,-0.4491995976980472,-0.3305201569091922,0.0,-0.1059589089766793,-0.27548720992269715,-0.1620467106834972,-0.2775560329791516,-0.3609611026597527,-0.03919094010185164,0.30077401551207733,-0.32274938960951693,-0.4502395698749311,-0.14289444611023197,0.36852523035660806,-0.052983950186269495,0.3105615043578064,0.03500581047438399,0.43621143180866434,0.6102856218013154,0.7530942697654164,0.3015761341748708,0.4905321813665811,-0.05564493402089496,0.5219740482210451,0.7840250892042883,0.7031181336455031,0.8700614961064574,0.5317745096552029,1.335333173677195,0.9663531361973134,1.1125028793304477,0.633222875885396,0.26624559360857264,0.7892980092097015,0.29911216141505026,0.982306770076607,0.7628625451885811,1.0184047706841621,1.5518559471593827,0.9219087172643284,0.5933877766671153,0.07331260961102466,0.5037175233040659,0.5421281791651416,0.6742452005395154,1.0470034461338777,0.8444099531709015,0.6851967489980852,0.594788689288608,0.014421743613443972,1.2781686662730516,0.6290249071766013,-0.027466930838773995,1.1559395827716967,0.23904572186687872,0.1565920585372542,0.5360364655023808,0.42962519571452323,1.2502787793217578,1.0637812972270473,1.2103029302814197,0.8296541394999649,0.899228803025897,1.0981863972154058,0.8090398349558905,0.8708006883682161,0.9424001024860167,0.4488792012484348,0.08851810795451517,0.37691427794523646,1.3925166297400418,0.0,0.4389477864571921,1.3301945255217955,0.4424591111909911,0.20535012709710013,0.19323446015854787,0.4082482904638629,0.6866873063209734,0.0,-0.3244428422615251,-0.2706040365966954,0.1871348584655415,0.08105148404374493,0.4789474720713997,-0.39429715890449113,1.28097973868016,-0.19245008972987515,-0.09491579957524987,-0.8282364455613492,0.984916179296249,-0.76271276980969,-0.045548751867427816,0.5715005715008573,0.4548588261473421,-0.2871832634470953,-0.5255883312276367,-0.1097642599896903,0.0,-1.4103122761478906,0.5590169943749476,-0.4743416490252569,0.8090398349558905,-0.8273403039920306,-0.4743416490252569,-0.4082482904638631,1.214746786823312,-0.3061862178478973,-0.22360679774997888,0.36380343755449945,-0.2773500981126145,-0.36380343755449945,2.0468647176630395,-1.093987436234209,0.6324555320336759,1.7959982617189696,-0.48112522432468807,-0.8148217143826669,0.6933752452815363,0.1714985851425089,-1.1547005383792515,0.408248290463863,1.6733200530681511,0.3061862178478973,-0.21023533249105467,1.4912022701586516,0.408248290463863,1.9597003678917075,-0.7620007620011431,0.8660254037844387,1.5811388300841898,1.6510016510024765,0.47434164902525694,1.9611613513818402,-0.6324555320336758,0.40824829046386296,-0.2981423969999719,-0.5883484054145521,2.2974661075767617,-0.17149858514250876,-0.8660254037844387,-0.8660254037844387,0.10540925533894602,0.2773500981126145,0.8922178162191938,-0.5157106231293968,0.6324555320336759,0.38138503569823695,0.0,-0.8111071056538126,1.5811388300841895,-0.6324555320336758,-0.9354143466934853,2.1572774865200244,1.664100588675687,0.8660254037844387,0.1443375672974065,0.40824829046386296,0.0,-0.4653789209955173,-0.2773500981126145,0.5640760748177662,-0.7717436331412898,2.160246899469287,-0.10540925533894592,0.7637626158259734,1.5266450672275869,0.9282791216329143,0.37476584449793077,0.9602765994967198,1.262288989881439,0.36380343755449945,1.818384376068612,2.0830225756931817,0.42054238216439793,0.15061880828219448,-0.1693335026669207,0.7178049194865026,0.5914441660464558,1.1384199576606167,0.1279058958782158,0.5400617248673217,0.2260933675776887,0.3575424606884597,1.2362678548580093,1.2005902272353253,1.2884740915647352,0.8326910724800535,1.1498327637597499,0.77738569826205,1.056910857783121,0.3914801463431356,0.7069708905768203,0.525337564876001,0.4325660667017879,1.1047448099452037,0.7476144892485437,0.8548034483329119,0.948235594723056,0.8735279949276278,0.7127864449672372,1.199542320557708,1.1003638167785934,1.2710038907465762,0.7459585091347811,0.6398733833491189,0.8478230418508758,0.6093066393275272,1.131908283245257,1.1894356239724377,0.7623120199686503,0.8771689231027049,0.7900728536860632,1.1700342161358193,0.698113303164036,0.7980074688861063,0.7777455458512201,0.9185693263047752,1.0819503735099198,1.0134808772291333,1.25272087907203,0.9046869480470525,1.3928951637287406,1.048041127288208,1.163969997312871,1.4713730015757716,1.3963235978888533,1.3570291879160614,1.204925530270962,0.5335546115250056,1.0946119463348802,1.2022667946198322,1.2138068857935085,1.2115700057835723,0.8102076006547644,1.3825709573374947,1.4522192212217984,1.4644885072504168,0.9751307840056325,1.0230019922823381,0.8865651892087285,1.3252812997307317,0.744275843267841,0.7717161262333381,0.20431313161185424,1.0984901385771055,1.1766526164736464,1.2849405140925143,0.6928203230275508,1.1832083171280756,0.7369879100676896,0.8680017835896187,0.6895966054592131,0.7802230022648583,0.9306780410870433,0.67093383205911,0.70174983447713,0.4629838733537551,0.4959767270592207,0.13794266976616618,0.03816905103452876,0.6199210683489711,0.6931032800836721,0.35851099174024875,-0.9282733033921327,0.3686988303854687,-0.0605906073661534,0.7567874686642695,0.5201560702351183,0.684934889218775,0.788240781368082
